Command,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
2,10,2071880.671488,225,,,,,,,,,
1,32,2071880.671520,1,,,,,,,,,
3,34,2071880.670656,1647,6389.0,5119.0,5.0,36.0,18.0,-547.0,235.0,-19.0,5.0
1,0,2071880.672544,1056,,,,,,,,,
1,33,2071880.673504,0,,,,,,,,,
1,1,2071880.674496,1,,,,,,,,,
1,34,2071880.675488,1647,6389.0,5119.0,5.0,36.0,18.0,-547.0,235.0,-19.0,5.0
1,2,2071880.676480,1,,,,,,,,,
3,34,2071880.675776,1710,6379.0,5022.0,-2.0,74.0,33.0,-547.0,235.0,-19.0,6.0
1,35,2071880.677536,147,,,,,,,,,
1,3,2071880.678496,0,,,,,,,,,
1,36,2071880.679488,0,,,,,,,,,
1,4,2071880.680480,1,,,,,,,,,
3,37,2071880.681120,1,,,,,,,,,
1,37,2071880.681504,1,,,,,,,,,
3,34,2071880.680672,1630,6395.0,5105.0,-1.0,75.0,47.0,-542.0,236.0,-22.0,7.0
1,5,2071880.682560,4,,,,,,,,,
1,38,2071880.683488,1,,,,,,,,,
1,6,2071880.684480,1,,,,,,,,,
2,10,2071880.685472,225,,,,,,,,,
1,0,2071880.686464,1056,,,,,,,,,
1,32,2071880.687456,1,,,,,,,,,
3,37,2071880.688448,1,,,,,,,,,
3,34,2071880.689440,6264,4477.0,422.0,3436.0,5043.0,171.0,-503.0,283.0,153.0,104.0
1,1,2071880.690432,1,,,,,,,,,
1,33,2071880.691424,0,,,,,,,,,
1,2,2071880.692416,1,,,,,,,,,
1,34,2071880.693408,6264,4477.0,422.0,3436.0,5043.0,171.0,-503.0,283.0,153.0,104.0
1,3,2071880.694400,0,,,,,,,,,
1,35,2071880.695392,122,,,,,,,,,
3,34,2071880.696384,6515,3865.0,500.0,3440.0,4436.0,578.0,-501.0,295.0,155.0,105.0
1,4,2071880.697376,1,,,,,,,,,
1,36,2071880.698368,0,,,,,,,,,
1,5,2071880.699360,4,,,,,,,,,
1,37,2071880.700352,1,,,,,,,,,
3,34,2071880.701344,6372,4160.0,539.0,3116.0,4311.0,982.0,-501.0,295.0,155.0,106.0
1,6,2071880.702336,1,,,,,,,,,
1,38,2071880.703328,1,,,,,,,,,
2,10,2071880.704320,225,,,,,,,,,
3,34,2071880.705312,2159,7463.0,2858.0,-32.0,-216.0,30.0,-523.0,225.0,-163.0,115.0
1,0,2071880.706304,1056,,,,,,,,,
1,32,2071880.707296,1,,,,,,,,,
1,1,2071880.708288,1,,,,,,,,,
1,33,2071880.709280,0,,,,,,,,,
1,2,2071880.710272,1,,,,,,,,,
3,34,2071880.711264,2198,7466.0,2955.0,-63.0,-80.0,21.0,-523.0,225.0,-163.0,116.0
1,34,2071880.712256,2198,7466.0,2955.0,-63.0,-80.0,21.0,-523.0,225.0,-163.0,116.0
1,3,2071880.713248,0,,,,,,,,,
1,35,2071880.714240,147,,,,,,,,,
1,4,2071880.715232,1,,,,,,,,,
1,36,2071880.716224,0,,,,,,,,,
3,34,2071880.717216,2169,7460.0,2865.0,-89.0,-21.0,13.0,-521.0,231.0,-167.0,117.0
1,5,2071880.718208,4,,,,,,,,,
1,37,2071880.719200,0,,,,,,,,,
1,6,2071880.720192,1,,,,,,,,,
1,38,2071880.721184,1,,,,,,,,,
1,7,2071880.722176,3,,,,,,,,,
